NO,Name,Desingator,Footprint,Quantity,Parts name,Specfication
1,ESP32_DevkitC,U1,,,,
2,TFT-18,TFT1,,,,
3,SW,P1,2.54 HEADER,1,ITS_1500S,
4,SW_02,P2,2.54 HEADER,1,,
5,SW_03,P3,2.54 HEADER,1,,
6,SW_04,P4,2.54 HEADER,1,,
7,SW_05,P5,2.54 HEADER,1,,
8,SW_GND,P6,2.54 HEADER,1,,
9,SW_A,SW_A,12MM_SMD_TACTILE_SWITCH,1,,
10,SW_B,SW_B,12MM_SMD_TACTILE_SWITCH,1,,
11,LED-RED(0805),LED1,SMD-0805,1,,
12,LED-BLUE(0805),"LED2, LED3, LED4",SMD-0805,3,,
13,TTP223E-BA6,"TOUCH01, TOUCH02",sot-23-6,2,TTP223E-BA6,
14,4.7 RESISTOR,R1,SMD-0805,1,,
15,1K RESISTOR,"R2, R3, R4, R5, R6, R7",SMD-0805,6,,
16,0.1u,C1,SMD-0805,1,,
17,22pf,"C2, C3",SMD-0805,2,,
18,0.1u,"C4, C5",SMD-0805,2,,
19,F171-1120AOBMUB1,"J1, J2",2.54 HEADER SMD,2,,
20,Header-Male-2.54_1x1,"P7, P8",2.54 HEADER,2,,
21,Header-Male-2.54_1x2,"CHRG, BATT",2.54 HEADER,2,,
22,Header-Male-2.54_1x4,H1,2.54 HEADER,1,,
23,Header-Male-2.54_1x5,"H2, H3",2.54 HEADER,2,,
24,Header-Male-2.54_1x6,P9,2.54 HEADER,1,,
25,SOLDERJUMPERNC2,"SJ1, SJ3, SJ4",,3,,
